h5ad_var	index
FHIP1B	685
HERPUD1	686
HOMER3	687
RAD51	688
POLQ	689
PIK3CB	690
CYBA	691
THOC3	692
HEBP2	693
MPHOSPH9	694
PLEKHA5	695
PRSS8	696
SIKE1	697
RRP12	698
FNIP2	699
MSMO1	700
TTC17	701
ALX4	702
FSTL4	703
FOXN3	704
METTL24	705
AKR7A2	706
MRTO4	707
NNAT	708
USE1	709
MCF2L2	710
NRIP2	711
LAMA3	712
AP5M1	713
ANAPC4	714
KCNQ1	715
TRAPPC3	716
THRAP3	717
PHPT1	718
ENTPD2	719
LY75	720
ARID4B	721
OPN3	722
SDCCAG8	723
PTPRN	724
HHAT	725
KIF1B	726
FOXC1	727
TBC1D22A	728
SYNE2	729
PLEKHH1	730
ATP9A	731
SPO11	732
CBLN4	733
CHRDL2	734
FAM168A	735
RELT	736
GALC	737
NOP58	738
SZRD1	739
KCNH2	740
CUL1	741
FAM114A2	742
CYFIP2	743
TAB2	744
GINM1	745
EIF2AK2	746
USP36	747
KMT2C	748
MCOLN3	749
CCDC85A	750
PUM2	751
MRPL43	752
ITIH4	753
ITIH1	754
HPF1	755
ZFR	756
ZNF280C	757
NPFFR2	758
PHF21B	759
TRAF1	760
RC3H2	761
IL17RB	762
TRAF3IP2	763
GYG2	764
DCBLD2	765
SERPINB3	766
SOAT1	767
PKP2	768
MSH4	769
F7_ENSG00000057593	770
GDI2	771
PRDM1	772
ATG5	773
TMCC3	774
PITHD1	775
MTA3	776
USP13	777
ATP11B	778
LAMC2	779
CDK14	780
SEC61A1	781
PPP1R12A	782
RASGRF1	783
CAMK2B	784
CROCC	785
POLR3E	786
ATP2B4	787
ZC3H11A	788
RIOK2	789
YIPF1	790
NDC1	791
DGKG	792
FLYWCH1	793
UNKL	794
TBXAS1	795
PARP12	796
ALDH18A1	797
TARBP1	798
GATB	799
MXD1	800
CDK17	801
DNAJC25	802
SLC2A3	803
PSD	804
CTDP1	805
YBX3	806
STYK1	807
WNK1	808
CCAR1	809
OGFR	810
GNA15	811
CREB3L3	812
PIGV	813
PTPRU	814
SNRNP40	815
RIMBP2	816
COL11A1	817
QSER1	818
MPC1	819
ACAA1	820
BCAT1	821
HDAC7	822
LZTS1	823
PRDM6	824
WNT8A	825
SPAG4	826
NCKAP1	827
MRPS35	828
GUCY1B1	829
SFSWAP	830
TNK2	831
MON2	832
CDH3	833
ARSF	834
GPBP1	835
DGAT2	836
ZNF112	837
CS	838
LTK	839
MRPS24	840
ELMO2	841
WAPL	842
VMP1	843
APPBP2	844
POLD1	845
SEZ6	846
EIF4B	847
SLC6A16	848
BICRA	849
SPHK2	850
RPL18	851
CA11	852
ISOC2	853
U2AF2	854
EPN1	855
MED29	856
AHRR	857
ZNF275	858
MTMR1	859
GPC1	860
ADCK1	861
HAGH	862
RNF4	863
CASP8	864
LIMCH1	865
INTS13	866
TM7SF3	867
DLX3	868
SPA17	869
TSPAN32	870
CCN5	871
DMRT3	872
ST3GAL6	873
ATP2C2	874
NGFR	875
CDON	876
TAF2	877
HIPK2	878
TNPO3	879
BORCS8-MEF2B	880
RFXANK	881
TMEM161A	882
LPAR2	883
CTSA	884
SUGP2	885
SLC12A2	886
SNX24	887
EYA2	888
CNN2	889
ABCA7	890
SNCAIP	891
DDX20	892
BTBD1	893
FAR2	894
BCAS1	895
POU1F1	896
CHI3L2	897
SBNO2	898
PMS1	899
HMG20B	900
CALCRL	901
TAF11	902
ANKS1A	903
AP3D1	904
ZNF76	905
NHERF2	906
NTHL1	907
BLTP3A	908
GNAI3	909
IPO5	910
OAT	911
WDR3	912
PKN2	913
WDR18	914
TRAM2	915
NTN1	916
GLP2R	917
MCM10	918
DGKA	919
ERBB3	920
ROPN1	921
ANKRD44	922
KARS1	923
ADAT1	924
PDIA5	925
TBC1D22B	926
NDUFB4	927
SPEN	928
MYLK	929
ZC3H15	930
MAP2K4	931
PACC1	932
SNAP91	933
SLK	934
CYB5R4	935
COL17A1	936
GSTO2	937
SEC61A2	938
PRKCQ	939
TLE2	940
ASB1	941
FAM107B	942
ME1	943
TBC1D1	944
CDK13	945
MTHFD2	946
SLC9A7	947
FOXJ2	948
YBX1	949
PDE4A	950
PPP2R5A	951
CTNNA2	952
ELAVL1	953
TIE1	954
DIP2B	955
SMARCD1	956
KDM4A	957
NFYC	958
ZMYND12	959
SLC9A3	960
NGEF	961
ASPM	962
CD84	963
ELOVL1	964
SPI1	965
POLR1H	966
MPPED2	967
CLDN18	968
ZBTB11	969
ATXN3	970
GOLGA5	971
FGFR2	972
LRRC40	973
ISOC1	974
EML1	975
TRMT11	976
THUMPD1	977
MSANTD3	978
KIF26A	979
ATG2B	980
ARFGEF1	981
ACSM2B	982
ZFAT	983
MTFR1	984
STAG3	985
FECH	986
MYO9A	987
DDX3Y	988
PFKP	989
IDI1	990
SP100	991
KLF6	992
PLPP1	993
NEO1	994
TRAM1	995
PHKA1	996
TNFRSF1A	997
CACNB1	998
EVI5	999
STOML1	1000
PKM	1001
DHX29	1002
DNTTIP2	1003
METTL22	1004
TP53BP1	1005
TRO	1006
RRP15	1007
RHOA	1008
DHX8	1009
PRKCZ	1010
ZFY	1011
IARS2	1012
SYT1	1013
NAV3	1014
IDH3G	1015
ROGDI	1016
PDZD4	1017
ATP2B3	1018
ROCK1	1019
CBFB	1020
PDK3	1021
HYAL2	1022
HDAC4	1023
RASSF1	1024
FGFR3	1025
IFI35	1026
HEATR6	1027
COASY	1028
PLEKHH3	1029
MEF2A	1030
OTUD5	1031
TFE3	1032
TBC1D25	1033
ACSL4	1034
INPP5A	1035
GPKOW	1036
GRIPAP1	1037
FTSJ1	1038
PRR11	1039
REEP1	1040
ATP11A	1041
POLR1A	1042
LAPTM4A	1043
TTC7A	1044
IP6K2	1045
STON1-GTF2A1L	1046
SRBD1	1047
KIF2A	1048
RASGRP2	1049
PSME4	1050
IFT80	1051
SIRT2	1052
ERLEC1	1053
PPP2R5B	1054
PYGM	1055
PAGE1	1056
PITX1	1057
TRPC7	1058
MAST4	1059
ADGRF5	1060
SDK2	1061
ADAM7	1062
NUP133	1063
NUCKS1	1064
VPS35	1065
DNAJA2	1066
BCL3	1067
KCNAB2	1068
ABCC9	1069
GAL	1070
CLEC2D	1071
FUNDC1	1072
MAOB	1073
RORA	1074
DRD4	1075
TGFBR3	1076
PLA2G10	1077
HES2	1078
ATP1B3	1079
NEDD4	1080
PIGB	1081
MAPK6	1082
GNB5	1083
RAB27A	1084
HDHD5	1085
UFD1	1086
LRP6	1087
GUCY2C	1088
SCT	1089
PHRF1	1090
ELP1	1091
NUCB2	1092
PFN2	1093
PTPN3	1094
SPTB	1095
DAPP1	1096
FGF10	1097
SLC44A1	1098
TMEM260	1099
SMG6	1100
EXOC5	1101
CLTCL1	1102
FGF22	1103
FSTL3	1104
DGCR2	1105
RNF126	1106
MNT	1107
ZXDC	1108
JMJD6	1109
POLB	1110
ST6GALNAC1	1111
WIPI1	1112
FRMPD1	1113
GBA2	1114
NDST1	1115
ASNS	1116
AP3M2	1117
CNGB1	1118
ST6GALNAC2	1119
CHAT	1120
PABPC1	1121
TESK2	1122
CFAP20	1123
CSNK2A2	1124
PTPN21	1125
EIF2B3	1126
CAMK2A	1127
TCOF1	1128
CDC42	1129
OSBPL3	1130
EPHA8	1131
SLC12A3	1132
RAD18	1133
ATP2B1	1134
TRPM5	1135
NCK2	1136
MAP4K4	1137
MGAT4A	1138
RPL31	1139
WDR1	1140
SNX13	1141
MS4A12	1142
ARHGAP10	1143
RPS6KA2	1144
ING3	1145
VASH1	1146
LMCD1	1147
BUD23	1148
SEL1L	1149
TRIP13	1150
ATP6AP1	1151
TCF3	1152
TRIB2	1153
DAZAP1	1154
MBD3	1155
PRLH	1156
HLTF	1157
FAM50A	1158
FAM3A	1159
CPSF1	1160
MYO3B	1161
CYBRD1	1162
CDH19	1163
PDCD2	1164
SLC6A15	1165
RDH11	1166
PRKACA	1167
ADGRL1	1168
SPP2	1169
ACTN1	1170
ZFYVE26	1171
RPS6KA6	1172
EPN2	1173
PTPN18	1174
LIMS2	1175
ASIC4	1176
SPEG	1177
LNX1	1178
ALDH3A2	1179
TFRC	1180
SREBF1	1181
TRPC5	1182
AFF4	1183
UBE2D1	1184
PALS1	1185
RHOBTB1	1186
SMC1A	1187
HSD17B10	1188
MARK2	1189
HMMR	1190
CHFR	1191
TRHDE	1192
P4HA2	1193
FCGR2B	1194
NFATC3	1195
TRNT1	1196
ACADVL	1197
STK10	1198
FBXW11	1199
ACAP1	1200
CRMP1	1201
EVC	1202
DERL2	1203
SIDT1	1204
NDE1	1205
IRAG1	1206
TMEM38A	1207
AP1M1	1208
PVR	1209
XRCC1	1210
SCARB1	1211
CYP2W1	1212
MCM2	1213
MOV10L1	1214
PANX2	1215
SELENOO	1216
TP63	1217
ALPK1	1218
LLGL2	1219
PDE8A	1220
CLCN4	1221
NLE1	1222
SDHA	1223
SMARCE1	1224
FNDC8	1225
GSDMB	1226
KDM5A	1227
ADAM11	1228
PPP2R3A	1229
FERMT2	1230
ABCB11	1231
DHRS9	1232
CD5L	1233
PTGS2	1234
IGF2BP2	1235
MAP3K13	1236
ST6GAL1	1237
TBX21	1238
FRY	1239
PICALM	1240
NSF	1241
GLI2	1242
CLASP1	1243
MRPS34	1244
NOTCH3	1245
CLNS1A	1246
PPP2R2C	1247
TEAD2	1248
EED	1249
CDHR2	1250
SNCB	1251
TSG101	1252
NCBP3	1253
ATP2A3	1254
CA12	1255
MGLL	1256
NTN4	1257
BCS1L	1258
NUAK1	1259
DPP8	1260
SLC24A1	1261
ZNF532	1262
SCARF1	1263
LMAN1	1264
HACD3	1265
IPCEF1	1266
ZZEF1	1267
NOX3	1268
ENO1	1269
SLC12A1	1270
MYDGF	1271
ANO8	1272
TUBE1	1273
ARHGEF10L	1274
TXK	1275
