gene_id	gene_name	number_of_cells_expressed
ENSG00000083642	PDS5B	6373470
ENSG00000105220	GPI	6372655
ENSG00000117410	ATP6V0B	6366571
ENSG00000172270	BSG	6365819
ENSG00000088448	ANKRD10	6365543
ENSG00000011295	TTC19	6363304
ENSG00000169967	MAP3K2	6362419
ENSG00000204120	GIGYF2	6361867
ENSG00000069849	ATP1B3	6361580
ENSG00000118363	SPCS2	6360222
ENSG00000185345	PRKN	6356096
ENSG00000013441	CLK1	6354500
ENSG00000111371	SLC38A1	6354463
ENSG00000196914	ARHGEF12	6354145
ENSG00000145734	BDP1	6351827
ENSG00000204217	BMPR2	6348348
ENSG00000109756	RAPGEF2	6346088
ENSG00000082068	WDR70	6344316
ENSG00000111605	CPSF6	6343045
ENSG00000119522	DENND1A	6342286
ENSG00000054282	SDCCAG8	6341304
ENSG00000197959	DNM3	6338340
ENSG00000124406	ATP8A1	6335781
ENSG00000198162	MAN1A2	6334712
ENSG00000005339	CREBBP	6332271
ENSG00000198964	SGMS1	6331345
ENSG00000107643	MAPK8	6330708
ENSG00000116489	CAPZA1	6328961
ENSG00000117859	OSBPL9	6327784
ENSG00000145833	DDX46	6326248
ENSG00000080298	RFX3	6324896
ENSG00000100697	DICER1	6324812
ENSG00000131171	SH3BGRL	6323407
ENSG00000172264	MACROD2	6320906
ENSG00000137409	MTCH1	6318959
ENSG00000111229	ARPC3	6318921
ENSG00000003756	RBM5	6318415
ENSG00000130779	CLIP1	6318004
ENSG00000117569	PTBP2	6316393
ENSG00000174501	ANKRD36C	6316064
ENSG00000100941	PNN	6315739
ENSG00000108510	MED13	6313286
