gene_id	gene_name	number_of_cells_expressed
ENSG00000127564	PKMYT1	134597
ENSG00000281883	ENSG00000281883.1	134414
ENSG00000165490	DDIAS	134365
ENSG00000285585	ENSG00000285585.1	134253
ENSG00000100336	APOL4	134246
ENSG00000261210	CLEC19A	134179
ENSG00000160224	AIRE	134057
ENSG00000170044	ZPLD1	133929
ENSG00000179913	B3GNT3	133836
ENSG00000121690	DEPDC7	133826
ENSG00000184599	TAFA3	133747
ENSG00000186329	TMEM212	133738
ENSG00000176244	ACBD7	133621
ENSG00000024526	DEPDC1	133599
ENSG00000275410	HNF1B	133438
ENSG00000137135	ARHGEF39	133400
ENSG00000285231	OOSP3	133361
ENSG00000170890	PLA2G1B	133297
ENSG00000163440	PDCL2	133204
ENSG00000255663	ENSG00000255663.1	133188
ENSG00000111254	AKAP3	133127
ENSG00000272741	ENSG00000272741.1	133127
ENSG00000203995	ZYG11A	132967
ENSG00000128645	HOXD1	132826
ENSG00000188000	OR7D2	132814
ENSG00000263961	RHEX	132762
ENSG00000173769	TOPAZ1	132743
ENSG00000122592	HOXA7	132728
ENSG00000100101	ENSG00000100101.15	132714
ENSG00000131019	ULBP3	132635
ENSG00000274810	NPHP3-ACAD11	132612
ENSG00000011052	NME1-NME2	132539
ENSG00000114487	MORC1	132513
ENSG00000105523	FAM83E	132473
ENSG00000284946	ENSG00000284946.1	132311
ENSG00000276409	CCL14	132216
ENSG00000146839	ZAN	131888
ENSG00000174576	NPAS4	131862
ENSG00000104760	FGL1	131835
ENSG00000272647	ENSG00000272647.3	131824
ENSG00000215397	SCRT2	131756
ENSG00000139800	ZIC5	131632
ENSG00000149922	TBX6	131553
ENSG00000129810	SGO1	131312
ENSG00000197587	DMBX1	131308
ENSG00000184389	A3GALT2	131275
ENSG00000148942	SLC5A12	131250
ENSG00000159648	TEPP	131163
ENSG00000184163	C1QTNF12	131042
ENSG00000248919	ATP5MF-PTCD1	130948
ENSG00000188779	SKOR1	130695
ENSG00000171017	LRRC8E	130688
ENSG00000129474	AJUBA	130663
ENSG00000188883	KLRG2	130550
ENSG00000156284	CLDN8	130545
ENSG00000187037	GPR141	130519
ENSG00000137975	CLCA2	130336
ENSG00000189068	VSTM1	130322
ENSG00000184860	SDR42E1	130303
ENSG00000204909	SPINK9	130283
ENSG00000167244	IGF2	130099
ENSG00000122711	SPINK4	130094
ENSG00000278828	H3C10	129971
ENSG00000178372	CALML5	129917
ENSG00000105641	SLC5A5	129893
ENSG00000117400	MPL	129784
ENSG00000124208	PEDS1-UBE2V1	129715
ENSG00000007350	TKTL1	129561
ENSG00000183760	ACP7	129298
ENSG00000143632	ACTA1	129285
ENSG00000126562	WNK4	129167
ENSG00000161594	KLHL10	129157
ENSG00000197416	FABP12	129129
ENSG00000092607	TBX15	129074
ENSG00000240445	FOXO3B	128999
ENSG00000130595	TNNT3	128976
ENSG00000274847	MAFIP	128913
ENSG00000135436	FAM186B	128742
ENSG00000180269	GPR139	128690
ENSG00000178201	VN1R1	128548
ENSG00000102048	ASB9	128424
ENSG00000277639	CHD9NB	128247
ENSG00000133980	VRTN	128205
ENSG00000066735	KIF26A	128109
ENSG00000156269	NAA11	127941
ENSG00000111012	CYP27B1	127911
ENSG00000128510	CPA4	127877
ENSG00000002726	AOC1	127847
ENSG00000197632	SERPINB2	127845
ENSG00000196862	RGPD4	127817
ENSG00000175315	CST6	127442
ENSG00000078579	FGF20	127405
ENSG00000165863	C10orf82	127405
ENSG00000171931	FBXW10	127390
ENSG00000117834	SLC5A9	127355
ENSG00000254415	SIGLEC14	127324
ENSG00000109758	HGFAC	127264
ENSG00000105479	ODAD1	127262
ENSG00000214940	NPIPA8	127219
ENSG00000138131	LOXL4	127128
ENSG00000113249	HAVCR1	127027
ENSG00000173338	KCNK7	127015
ENSG00000185467	KPNA7	126976
ENSG00000095752	IL11	126954
ENSG00000204531	POU5F1	126619
ENSG00000267426	ENSG00000267426.5	126565
ENSG00000148773	MKI67	126425
ENSG00000170482	SLC23A1	126392
ENSG00000164935	DCSTAMP	126335
ENSG00000100557	CCDC198	126233
ENSG00000104879	CKM	126177
ENSG00000113211	PCDHB6	126119
ENSG00000198125	MB	126062
ENSG00000198844	ARHGEF15	125985
ENSG00000166828	SCNN1G	125855
ENSG00000278817	ENSG00000278817.1	125777
ENSG00000136378	ADAMTS7	125735
ENSG00000131233	GJA9	125730
ENSG00000169594	BNC1	125713
ENSG00000002745	WNT16	125641
ENSG00000124827	GCM2	125525
ENSG00000267748	ENSG00000267748.4	125412
ENSG00000275221	H2AC15	125394
ENSG00000138435	CHRNA1	125367
ENSG00000183549	ACSM5	125293
ENSG00000283580	ENSG00000283580.4	125149
ENSG00000272442	ENSG00000272442.2	124937
ENSG00000167748	KLK1	124764
ENSG00000142606	MMEL1	124753
ENSG00000283128	ENSG00000283128.3	124556
ENSG00000149300	C11orf52	124493
ENSG00000244482	LILRA6	124491
ENSG00000137273	FOXF2	124446
ENSG00000187871	GFRAL	124394
ENSG00000126778	SIX1	123911
ENSG00000283683	MYOCOS	123763
ENSG00000178795	GDPD4	123702
ENSG00000173662	TAS1R1	123674
ENSG00000175820	CCDC168	123666
ENSG00000198336	MYL4	123450
ENSG00000161031	PGLYRP2	123336
ENSG00000198074	AKR1B10	123328
ENSG00000164122	ASB5	123265
ENSG00000183615	FAM167B	123136
ENSG00000145826	LECT2	123110
ENSG00000106328	FSCN3	123089
ENSG00000261594	TPBGL	123050
ENSG00000171433	GLOD5	123036
ENSG00000161609	KASH5	122950
ENSG00000143476	DTL	122871
ENSG00000184530	C6orf58	122735
ENSG00000288722	F8A1	122676
ENSG00000159625	DRC7	122585
ENSG00000169676	DRD5	122530
ENSG00000140623	SEPTIN12	122487
ENSG00000171401	KRT13	122477
ENSG00000176177	ENTHD1	122414
ENSG00000147059	SPIN2A	122408
ENSG00000142615	CELA2A	122271
ENSG00000127533	F2RL3	122045
ENSG00000188488	SERPINA5	121961
ENSG00000169900	PYDC1	121745
ENSG00000175084	DES	121709
ENSG00000172425	TTC36	121539
ENSG00000158714	SLAMF8	121532
ENSG00000166743	ACSM1	121500
ENSG00000124205	EDN3	121344
ENSG00000184716	SERINC4	121227
ENSG00000185761	ADAMTSL5	121218
ENSG00000253598	SLC10A5	120981
ENSG00000179627	ZBTB42	120961
ENSG00000152611	CAPSL	120808
ENSG00000166928	MS4A14	120702
ENSG00000237412	PRSS56	120567
ENSG00000169224	GCSAML	120526
ENSG00000007933	FMO3	120409
ENSG00000138315	OIT3	120338
ENSG00000188501	LCTL	120324
ENSG00000008197	TFAP2D	120133
ENSG00000116690	PRG4	120115
ENSG00000139219	COL2A1	120015
ENSG00000187823	RTL4	119654
ENSG00000182508	LHFPL1	119638
ENSG00000108823	SGCA	119407
ENSG00000263155	MYZAP	119390
ENSG00000166866	MYO1A	119264
ENSG00000154252	GAL3ST2	119188
ENSG00000178997	EXD1	119167
ENSG00000154997	SEPTIN14	119114
ENSG00000186452	TMPRSS12	118980
ENSG00000137204	SLC22A7	118875
ENSG00000134438	RAX	118824
ENSG00000128250	RFPL1	118678
ENSG00000117399	CDC20	118505
ENSG00000184661	CDCA2	118501
ENSG00000260851	ENSG00000260851.7	118282
ENSG00000112246	SIM1	118262
ENSG00000173641	HSPB7	118244
ENSG00000183571	PGPEP1L	118027
ENSG00000126010	GRPR	117811
ENSG00000173013	CCDC96	117789
ENSG00000166183	ASPG	117752
ENSG00000099953	MMP11	117726
ENSG00000237330	RNF223	117634
ENSG00000106336	FBXO24	117618
ENSG00000188175	HEPACAM2	117585
ENSG00000165182	CXorf58	117554
ENSG00000135476	ESPL1	117533
ENSG00000108511	HOXB6	117455
ENSG00000283765	ENSG00000283765.1	117171
ENSG00000163737	PF4	117127
ENSG00000131650	KREMEN2	117079
ENSG00000230873	STMND1	117076
ENSG00000143867	OSR1	117075
ENSG00000037280	FLT4	117064
ENSG00000169314	C22orf15	116851
ENSG00000125878	TCF15	116748
ENSG00000121594	CD80	116710
ENSG00000176092	CRYBG2	116616
ENSG00000151360	ALLC	116415
ENSG00000104901	DKKL1	116373
ENSG00000187510	PLEKHG7	116256
ENSG00000180549	FUT7	116091
ENSG00000188991	SLC15A5	116062
ENSG00000178789	CD300LB	115986
ENSG00000185245	GP1BA	115878
ENSG00000102076	OPN1LW	115837
ENSG00000178934	LGALS7B	115800
ENSG00000039600	SOX30	115700
ENSG00000229676	ZNF492	115698
ENSG00000269502	DMRTC1	115647
ENSG00000185860	CCDC190	115581
ENSG00000216588	IGSF23	115485
ENSG00000186675	MAGEE2	115334
ENSG00000169679	BUB1	115250
ENSG00000054938	CHRDL2	115204
ENSG00000204140	CLPSL1	115173
ENSG00000175206	NPPA	115144
ENSG00000205482	SPDYE18	115026
ENSG00000137868	STRA6	114994
ENSG00000132744	ACY3	114925
ENSG00000145103	ILDR1	114854
ENSG00000126467	TSKS	114846
ENSG00000204335	SP5	114629
ENSG00000284626	ENSG00000284626.1	114580
ENSG00000166396	SERPINB7	114533
ENSG00000196860	TOMM20L	114531
ENSG00000034971	MYOC	114496
ENSG00000161940	BCL6B	114449
ENSG00000065328	MCM10	114384
ENSG00000124602	UNC5CL	114381
ENSG00000188306	LRRIQ4	114340
ENSG00000274997	H2AC12	114291
ENSG00000180999	C1orf105	114241
ENSG00000092850	TEKT2	114161
ENSG00000114854	TNNC1	114097
ENSG00000117650	NEK2	114088
ENSG00000262664	OVCA2	114042
ENSG00000099984	GSTT2	113807
ENSG00000267618	ENSG00000267618.5	113763
ENSG00000103241	FOXF1	113696
ENSG00000108242	CYP2C18	113600
ENSG00000164220	F2RL2	113595
ENSG00000159588	CCDC17	113590
ENSG00000188763	FZD9	113508
ENSG00000112837	TBX18	113501
ENSG00000133328	PLAAT2	113382
ENSG00000069812	HES2	113330
ENSG00000137878	GCOM1	113306
ENSG00000185933	CALHM1	113227
ENSG00000115507	OTX1	113207
ENSG00000120332	TNN	113094
ENSG00000171320	ESCO2	113023
ENSG00000060566	CREB3L3	112908
ENSG00000182484	WASH6P_ENSG00000182484	112838
ENSG00000272414	FAM47E-STBD1	112765
ENSG00000168348	INSM2	112711
ENSG00000237649	KIFC1	112656
ENSG00000179111	HES7	112645
ENSG00000285547	ENSG00000285547.1	112626
ENSG00000179058	C9orf50	112560
ENSG00000213471	TTLL13	112542
ENSG00000118526	TCF21	112482
ENSG00000115718	PROC	112480
ENSG00000254709	IGLL5	112457
ENSG00000179044	EXOC3L1	112352
ENSG00000198601	OR2M2	112210
ENSG00000187783	TMEM72	112167
ENSG00000124743	KLHL31	112114
ENSG00000261794	GOLGA8H	112112
ENSG00000143627	PKLR	112107
ENSG00000181333	HEPHL1	112086
ENSG00000129437	KLK14	112003
ENSG00000186973	CFAP144	111978
ENSG00000180806	HOXC9	111880
ENSG00000107821	KAZALD1	111794
ENSG00000213085	CFAP45	111786
ENSG00000163646	CLRN1	111670
ENSG00000115386	REG1A	111652
ENSG00000121764	HCRTR1	111575
ENSG00000007038	PRSS21	111556
ENSG00000274443	C8orf89	111526
ENSG00000131686	CA6	111523
ENSG00000149651	SPINT4	111498
ENSG00000166869	CHP2	110846
ENSG00000228727	SAPCD1	110719
ENSG00000175018	TEX36	110645
ENSG00000176083	ZNF683	110506
ENSG00000104941	RSPH6A	110350
ENSG00000285733	ENSG00000285733.1	110328
ENSG00000253767	PCDHGA8	110252
ENSG00000180871	CXCR2	110190
ENSG00000213937	CLDN9	110180
ENSG00000214510	SPINK13	110143
ENSG00000259120	SMIM6	110133
ENSG00000188886	ASTL	110050
ENSG00000170290	SLN	110046
ENSG00000244067	GSTA2	109964
ENSG00000154611	PSMA8	109923
ENSG00000155026	RSPH10B	109890
ENSG00000132031	MATN3	109832
ENSG00000259916	AQP7B	109727
ENSG00000272899	ATP6V1FNB	109677
ENSG00000132881	CPLANE2	109627
ENSG00000105679	GAPDHS	109607
ENSG00000134765	DSC1	109515
ENSG00000179709	NLRP8	109480
ENSG00000144230	GPR17	109460
ENSG00000164743	C8orf48	109302
ENSG00000232629	HLA-DQB2	109283
ENSG00000154007	ASB17	109127
ENSG00000144644	GADL1	109075
ENSG00000254122	PCDHGB7	108872
ENSG00000184357	H1-5	108867
ENSG00000095627	TDRD1	108714
ENSG00000269035	ENSG00000269035.1	108528
ENSG00000272573	MUSTN1	108453
ENSG00000249222	ATP5MGL	108361
ENSG00000204165	CXorf65	108268
ENSG00000157093	LYZL4	108021
ENSG00000253537	PCDHGA7	107933
ENSG00000171954	CYP4F22	107925
ENSG00000128886	ELL3	107881
ENSG00000174448	STARD6	107763
ENSG00000100985	MMP9	107755
ENSG00000189320	FAM180A	107749
ENSG00000270249	ENSG00000270249.2	107694
ENSG00000265818	EEF1E1-BLOC1S5	107574
ENSG00000182264	IZUMO1	107346
ENSG00000266302	ENSG00000266302.6	107325
ENSG00000120471	TP53AIP1	107203
ENSG00000136457	CHAD	107166
ENSG00000144837	PLA1A	107138
ENSG00000170477	KRT4	107043
ENSG00000164093	PITX2	107023
ENSG00000257950	P2RX5-TAX1BP3	106999
ENSG00000171487	NLRP5	106984
ENSG00000187908	DMBT1	106952
ENSG00000184937	WT1	106937
ENSG00000167131	CCDC103	106896
ENSG00000154620	TMSB4Y	106800
ENSG00000134812	CBLIF	106773
ENSG00000197888	UGT2B17	106745
ENSG00000167080	B4GALNT2	106629
ENSG00000088386	SLC15A1	106623
ENSG00000225556	C2CD4D	106608
ENSG00000139890	REM2	106468
ENSG00000261934	PCDHGA9	106450
ENSG00000124935	SCGB1D2	106412
ENSG00000151475	SLC25A31	106395
ENSG00000176125	UFSP1	106360
ENSG00000122121	XPNPEP2	106175
ENSG00000183347	GBP6	105998
ENSG00000104415	CCN4	105949
ENSG00000197446	CYP2F1	105778
ENSG00000261796	ISY1-RAB43	105756
ENSG00000148702	HABP2	105710
ENSG00000101162	TUBB1	105700
ENSG00000166148	AVPR1A	105535
ENSG00000179855	GIPC3	105529
ENSG00000197935	ZNF311	105389
ENSG00000146955	RAB19	105194
ENSG00000184302	SIX6	105060
ENSG00000214654	B3GALT9	104987
ENSG00000124103	FAM209A	104968
ENSG00000107159	CA9	104841
ENSG00000170516	COX7B2	104831
ENSG00000166664	CHRFAM7A	104829
ENSG00000129654	FOXJ1	104809
ENSG00000188505	NCCRP1	104730
ENSG00000213638	ADAT3	104712
ENSG00000105398	SULT2A1	104608
ENSG00000103426	CORO7-PAM16	104591
ENSG00000164107	HAND2	104582
ENSG00000261341	SMIM47	104518
ENSG00000286237	ARMCX5-GPRASP2_ENSG00000286237	104511
ENSG00000188869	TMC3	104377
ENSG00000269226	TMSB15C	104355
ENSG00000099834	CDHR5	104288
ENSG00000186103	ARGFX	104284
ENSG00000185149	NPY2R	104247
ENSG00000135100	HNF1A	104212
ENSG00000268133	ENSG00000268133.1	104138
ENSG00000282988	ENSG00000282988.2	104121
ENSG00000147570	DNAJC5B	104071
ENSG00000198353	HOXC4	103814
ENSG00000185198	PRSS57	103811
ENSG00000257743	MGAM2	103809
ENSG00000117560	FASLG	103749
ENSG00000227268	KLLN	103428
ENSG00000132681	ATP1A4	103391
ENSG00000188176	SMTNL2	103365
ENSG00000105352	CEACAM4	103272
ENSG00000171903	CYP4F11	103199
ENSG00000081248	CACNA1S	102804
ENSG00000232125	DYTN	102755
ENSG00000179639	FCER1A	102703
ENSG00000188931	CFAP126	102524
ENSG00000089225	TBX5	102519
ENSG00000230797	YY2	102511
ENSG00000182698	RESP18	102439
ENSG00000221887	HMSD	102376
ENSG00000203963	C1orf141	102339
ENSG00000107447	DNTT	102319
ENSG00000158014	SLC30A2	102237
ENSG00000164045	CDC25A	102180
ENSG00000215274	GAGE10	102164
ENSG00000198553	KCNRG	102114
ENSG00000005381	MPO	102063
ENSG00000005421	PON1	102021
ENSG00000180574	EIF2S3B	101975
ENSG00000125798	FOXA2	101967
ENSG00000172215	CXCR6	101895
ENSG00000180090	OR3A1	101843
ENSG00000164853	UNCX	101795
ENSG00000146809	ASB15	101776
ENSG00000189280	GJB5	101775
ENSG00000222014	RAB6C	101683
ENSG00000248672	LY75-CD302	101386
ENSG00000186185	KIF18B	101378
ENSG00000178776	C5orf46	101377
ENSG00000092054	MYH7	101322
ENSG00000233670	PIRT	101316
ENSG00000243284	VSIG8	101300
ENSG00000146410	MTFR2	101193
ENSG00000188060	RAB42	101062
ENSG00000258429	PDF	101061
ENSG00000125285	SOX21	101025
ENSG00000165891	E2F7	100761
ENSG00000004948	CALCR	100677
ENSG00000205678	TECRL	100665
ENSG00000196260	SFTA2	100625
ENSG00000115593	SMYD1	100607
ENSG00000215182	MUC5AC	100551
ENSG00000166796	LDHC	100531
ENSG00000165841	CYP2C19	100485
ENSG00000198807	PAX9	100484
ENSG00000007952	NOX1	100449
ENSG00000163012	ZSWIM2	100345
ENSG00000120149	MSX2	100275
ENSG00000259753	ENSG00000259753.1	99947
ENSG00000156509	FBXO43	99850
ENSG00000152766	ANKRD22	99576
ENSG00000165837	ERICH6B	99519
ENSG00000260836	ENSG00000260836.2	99321
ENSG00000204961	PCDHA9	99309
ENSG00000253159	PCDHGA12	99220
ENSG00000204022	LIPJ	99032
ENSG00000049249	TNFRSF9	98993
ENSG00000153789	CIBAR2	98913
ENSG00000167634	NLRP7	98894
ENSG00000123843	C4BPB	98800
ENSG00000205572	SERF1B	98695
ENSG00000124780	KCNK17	98682
ENSG00000169607	CKAP2L	98615
ENSG00000260007	ENSG00000260007.3	98527
ENSG00000100373	UPK3A	98487
ENSG00000262633	ENSG00000262633.2	98482
ENSG00000274512	TBC1D3L	98459
ENSG00000139572	GPR84	98426
ENSG00000130234	ACE2	98277
ENSG00000126787	DLGAP5	98086
ENSG00000131080	EDA2R	98060
ENSG00000253304	TMEM200B	98001
ENSG00000084110	HAL	97790
ENSG00000167646	DNAAF3	97736
ENSG00000130055	GDPD2	97563
ENSG00000170608	FOXA3	97523
ENSG00000182885	ADGRG3	97476
ENSG00000188958	UTS2B	97465
ENSG00000283199	C13orf46	97382
ENSG00000166589	CDH16	97354
ENSG00000244219	TMEM225B	97337
ENSG00000144962	SPATA16	97285
ENSG00000150783	TEX12	97257
ENSG00000100053	CRYBB3	97254
ENSG00000125965	GDF5	96867
ENSG00000196747	H2AC13	96802
ENSG00000278224	PRICKLE4	96743
ENSG00000125780	TGM3	96702
ENSG00000128165	ADM2	96636
ENSG00000131126	TEX101	96488
ENSG00000170848	PSG6	96437
ENSG00000164404	GDF9	96351
ENSG00000227868	TEX46	96338
ENSG00000133488	SEC14L4	96225
ENSG00000249948	GBA3	96223
ENSG00000135960	EDAR	96211
ENSG00000152672	CLEC4F	96184
ENSG00000112214	FHL5	96149
ENSG00000010932	FMO1	95779
ENSG00000124237	C20orf85	95684
ENSG00000198104	OR2T6	95681
ENSG00000144852	NR1I2	95660
ENSG00000234906	APOC2	95646
ENSG00000140835	CHST4	95616
ENSG00000143412	ANXA9	95611
ENSG00000173894	CBX2	95549
ENSG00000152595	MEPE	95548
ENSG00000170891	CYTL1	95532
ENSG00000282757	DUXB	95401
ENSG00000205177	C11orf91	95047
ENSG00000175262	C1orf127	94854
ENSG00000143028	SYPL2	94806
ENSG00000125787	GNRH2	94772
ENSG00000161653	NAGS	94767
ENSG00000169495	HTRA4	94570
ENSG00000177464	GPR4	94556
ENSG00000136929	HEMGN	94481
ENSG00000117983	MUC5B	94416
ENSG00000124593	ENSG00000124593.16	94275
ENSG00000116882	HAO2	94182
ENSG00000255245	FXYD6-FXYD2	94075
ENSG00000007968	E2F2	94048
ENSG00000165349	SLC7A3	93995
ENSG00000115850	LCT	93974
ENSG00000134489	HRH4	93954
ENSG00000205126	ACCSL	93822
ENSG00000186326	RGS9BP	93786
ENSG00000140839	CLEC18B	93692
ENSG00000121236	TRIM6	93685
ENSG00000266953	ENSG00000266953.6	93577
ENSG00000158516	CPA2	93476
ENSG00000178999	AURKB	93432
ENSG00000116745	RPE65	93396
ENSG00000243910	TUBA4B	93334
ENSG00000100593	ISM2	93333
ENSG00000106631	MYL7	93146
ENSG00000231924	PSG1	93146
ENSG00000113303	BTNL8	93076
ENSG00000254692	ENSG00000254692.1	93007
ENSG00000257390	ENSG00000257390.5	92934
ENSG00000172927	MYEOV	92773
ENSG00000152463	OLAH	92719
ENSG00000284057	ENSG00000284057.1	92603
ENSG00000257524	ENSG00000257524.6	92590
ENSG00000162510	MATN1	92562
ENSG00000261884	ENSG00000261884.2	92549
ENSG00000147573	TRIM55	92538
ENSG00000144045	DQX1	92401
ENSG00000254245	PCDHGA3	92318
ENSG00000144191	CNGA3	92295
ENSG00000243696	ENSG00000243696.5	92260
ENSG00000269891	ARHGAP19-SLIT1	92240
ENSG00000188089	PLA2G4E	92212
ENSG00000257108	NHLRC4	92147
ENSG00000006047	YBX2	92122
ENSG00000105697	HAMP	92040
ENSG00000274391	TPTE	91925
ENSG00000142661	MYOM3	91921
ENSG00000179914	ITLN1	91729
ENSG00000188676	IDO2	91490
ENSG00000140675	SLC5A2	91449
ENSG00000152430	BOLL	91326
ENSG00000114771	AADAC	91074
ENSG00000197191	CYSRT1	91064
ENSG00000086967	MYBPC2	90961
ENSG00000105675	ATP4A	90865
ENSG00000078900	TP73	90844
ENSG00000184270	H2AC21	90798
ENSG00000254852	NPIPA2	90743
ENSG00000093009	CDC45	90636
ENSG00000164509	IL31RA	90630
ENSG00000120337	TNFSF18	90606
ENSG00000242221	PSG2	90593
ENSG00000272921	ENSG00000272921.1	90540
ENSG00000133105	RXFP2	90478
ENSG00000237452	MEIOSIN	90276
ENSG00000181625	SLX1B	90233
ENSG00000159450	TCHH	90213
ENSG00000173868	PHOSPHO1	90181
ENSG00000147145	LPAR4	90150
ENSG00000007314	SCN4A	90136
ENSG00000266076	ENSG00000266076.1	90094
ENSG00000101200	AVP	89958
ENSG00000181634	TNFSF15	89927
ENSG00000140534	TICRR	89894
ENSG00000165125	TRPV6	89624
ENSG00000137674	MMP20	89564
ENSG00000224109	CENPVL3	89549
ENSG00000198765	SYCP1	89543
ENSG00000271824	SMIM32	89412
ENSG00000164047	CAMP	89399
ENSG00000255587	RAB44	89282
ENSG00000185313	SCN10A	89276
ENSG00000134571	MYBPC3	89265
ENSG00000144481	TRPM8	89014
ENSG00000187682	ERAS	88995
ENSG00000261787	TCF24	88960
ENSG00000256713	PGA5	88772
ENSG00000143556	S100A7	88707
ENSG00000270757	HSPE1-MOB4	88578
ENSG00000180340	FZD2	88544
ENSG00000171804	WDR87	88519
ENSG00000188487	INSC	88504
ENSG00000066813	ACSM2B	88323
ENSG00000284713	SMIM38	88254
ENSG00000161652	IZUMO2	88213
ENSG00000275713	H2BC9	88158
ENSG00000137077	CCL21	88152
ENSG00000174016	TENT5D	88096
ENSG00000251664	PCDHA12	88057
ENSG00000091583	APOH	88042
ENSG00000283992	SLURP2	88022
ENSG00000174950	CD164L2	87992
ENSG00000221826	PSG3	87927
ENSG00000168418	KCNG4	87924
ENSG00000165702	GFI1B	87922
ENSG00000254536	ENSG00000254536.2	87849
ENSG00000144820	ADGRG7	87715
ENSG00000168907	PLA2G4F	87609
ENSG00000140279	DUOX2	87525
ENSG00000250021	ARPIN-AP3S2	87425
ENSG00000170689	HOXB9	87401
ENSG00000183747	ACSM2A	87399
ENSG00000184210	DGAT2L6	87305
ENSG00000157060	SHCBP1L	87284
ENSG00000233024	NPIPA9_ENSG00000233024	87225
ENSG00000138039	LHCGR	87220
ENSG00000197272	IL27	87125
ENSG00000183798	EMILIN3	87105
ENSG00000140459	CYP11A1	87065
ENSG00000180745	CLRN3	87056
ENSG00000134028	ADAMDEC1	86970
ENSG00000180767	CHST13	86967
ENSG00000118094	TREH	86946
ENSG00000164500	SPATA48	86867
ENSG00000251493	FOXD1	86655
ENSG00000179564	LSMEM2	86433
ENSG00000161992	PRR35	86374
ENSG00000182521	TBPL2	86352
ENSG00000169174	PCSK9	86106
ENSG00000285827	ENSG00000285827.1	85966
ENSG00000160870	CYP3A7	85885
ENSG00000081051	AFP	85878
ENSG00000162571	TTLL10	85813
ENSG00000256646	ENSG00000256646.8	85788
ENSG00000283378	CNTNAP3C	85740
ENSG00000235376	RPEL1	85700
ENSG00000270765	GAS2L2	85676
ENSG00000107014	RLN2	85655
ENSG00000168062	BATF2	85588
ENSG00000198354	DCAF12L2	85436
ENSG00000010319	SEMA3G	85420
ENSG00000138180	CEP55	85321
ENSG00000176635	HORMAD2	85305
ENSG00000197233	OR1J2	85291
ENSG00000176399	DMRTA1	85173
ENSG00000162438	CTRC	85138
ENSG00000284906	ENSG00000284906.3	85071
ENSG00000187848	P2RX2	85002
ENSG00000154646	TMPRSS15	84959
ENSG00000170788	DYDC1	84918
ENSG00000109511	ANXA10	84868
ENSG00000215472	RPL17-C18orf32	84862
ENSG00000115665	SLC5A7	84740
ENSG00000268361	ENSG00000268361.1	84684
ENSG00000180176	TH	84662
ENSG00000197893	NRAP	84563
ENSG00000204632	HLA-G	84478
ENSG00000166527	CLEC4D	84358
ENSG00000117971	CHRNB4	84301
ENSG00000145850	TIMD4	84279
ENSG00000278139	P3R3URF-PIK3R3	84259
ENSG00000176692	FOXC2	84154
ENSG00000186399	GOLGA8R	84093
ENSG00000143032	BARHL2	84074
ENSG00000052850	ALX4	84069
ENSG00000183813	CCR4	84014
ENSG00000256566	ENSG00000256566.1	83962
ENSG00000081853	PCDHGA2	83910
ENSG00000248710	ENSG00000248710.1	83851
ENSG00000171864	PRND	83680
ENSG00000141194	OR4D1	83654
ENSG00000127412	TRPV5	83618
ENSG00000250799	PRODH2	83568
ENSG00000075886	TUBA3D	83490
ENSG00000151846	PABPC3	83460
ENSG00000169894	MUC3A	83401
ENSG00000101405	OXT	83358
ENSG00000170439	METTL7B	83200
ENSG00000179046	TRIML2	83170
ENSG00000143631	FLG	83154
ENSG00000111291	GPRC5D	83087
ENSG00000214562	NUTM2D	83041
ENSG00000165828	PRAP1	82885
ENSG00000166603	MC4R	82822
ENSG00000244115	DNAJC25-GNG10	82737
ENSG00000204361	NXPE2	82457
ENSG00000196550	FAM72A	82435
ENSG00000170498	KISS1	82369
ENSG00000233056	ERVH48-1	82124
ENSG00000131055	COX4I2	82097
ENSG00000188368	PRR19	82094
ENSG00000197046	SIGLEC15	82030
ENSG00000188389	PDCD1	81978
ENSG00000163060	TEKT4	81895
ENSG00000167355	OR51B5	81836
ENSG00000269825	ENSG00000269825.3	81740
ENSG00000266997	ENSG00000266997.2	81733
ENSG00000206127	GOLGA8O	81678
ENSG00000129991	TNNI3	81671
ENSG00000186510	CLCNKA	81468
ENSG00000162594	IL23R	81444
ENSG00000197408	CYP2B6	81357
ENSG00000189057	FAM111B	81305
ENSG00000213512	GBP7	81269
ENSG00000112499	SLC22A2	81249
ENSG00000109625	CPZ	81161
ENSG00000196433	ASMT_ENSG00000196433	81151
ENSG00000258227	CLEC5A	81042
ENSG00000188508	KRTDAP	80928
ENSG00000284341	ENSG00000284341.1	80922
ENSG00000115008	IL1A	80902
ENSG00000109182	CWH43	80895
ENSG00000142700	DMRTA2	80848
ENSG00000196415	PRTN3	80763
ENSG00000175077	RTP1	80669
ENSG00000197757	HOXC6	80647
ENSG00000248099	INSL3	80511
ENSG00000168955	TM4SF20	80472
ENSG00000198028	ZNF560	80444
ENSG00000260097	SPDYE6	80378
ENSG00000130656	HBZ	80371
ENSG00000169344	UMOD	80357
ENSG00000137976	DNASE2B	80355
ENSG00000165376	CLDN2	80354
ENSG00000256812	CAPNS2	80183
ENSG00000265590	CFAP298-TCP10L	80067
ENSG00000140955	ADAD2	79954
ENSG00000165370	GPR101	79872
ENSG00000168070	MAJIN	79868
ENSG00000168811	IL12A	79792
ENSG00000137875	BCL2L10	79782
ENSG00000100253	MIOX	79755
ENSG00000101280	ANGPT4	79730
